System		Fraction Overlap
SRC_O44		0.46688397790055247
JAK3_PF		0.7275801104972376
BTK_4A9		0.7572596685082873
EGFR_IB		0.3505082872928177
MKK7_IB		0.24160220994475137
EGFR_DB		0.6162209944751381
BTK1_IB		0.255646408839779
EGFR_4C9		0.6216685082872928
SRC_5YZ		0.8516132596685083
TAK1_OL		0.6478011049723756
EPHB3_6P6		0.08661644139153557
SRC_PD		0.22575690607734808
AURKA_5YZ		0.7486298342541436
BTK_4C9		0.5122541436464089
BTK_4B9		0.7187292817679558
EGFR_AB		0.7151933701657458
EGFR_O44		0.044883977900552485
SRC_DGY		0.722
EGFR_OB		0.28787845303867404
