System		Fraction Overlap
SRC_O44		0.44083333333333335
JAK3_PF		0.5747142857142857
BTK_4A9		0.05414814814814815
EGFR_IB		0.14739226519337018
MKK7_IB		0.013202312138728323
EGFR_DB		0.4791351351351351
BTK1_IB		0.6492707182320442
EGFR_4C9		7.407407407407407e-05
SRC_5YZ		0.6970617283950618
TAK1_OL		0.12944
EPHB3_6P6		0.5683666666666667
SRC_PD		0.5055294117647059
AURKA_5YZ		0.6594320987654321
BTK_4C9		0.2717530864197531
BTK_4B9		0.03827160493827161
EGFR_AB		0.6497714285714286
EGFR_O44		0.07422857142857144
SRC_DGY		0.5833939393939394
EGFR_OB		0.0
